system,id,备注,url,风险等级,备注,
mis,76,乘客运营-运营策略管理-审核子策略,mis.volcano.intra.xiaojukeji.com/metis/policyMisV3/mAuditSubPolicy,-1,,
mis,77,审核播报权限点,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/mDidiSysPush/auditTask,-1,,
mis,78,司机实时奖励编辑,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/mis/mActivity/saveData,-1,,
mis,79,司机实时奖励复制,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/mis/mActivityDriver/getActivityDriver,1,7.2大量人员触发告警，疑似误报,
mis,80,司机实时奖励审核通过,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/mis/mActivity/auditActivity,-1,,
mis,81,司机运营城市-审核/活动审批通过,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/auditing,-1,,
mis,82,添加播报,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/mDidiSysPush/saveData,-1,,
mis,83,乘客运营-运营策略管理-添加子策略,mis.volcano.intra.xiaojukeji.com/metis/policyMisV3/mAddSubPolicy,-1,,
mis,84,城市配置-城市定价配置-新增定价,mis.xiaojukeji.com/gulfstream/mis/eyrie/mCityPrice/addCityPrice,-1,,
mis,85,新增复制编辑盘古,mis.xiaojukeji.com/gulfstream/mis/riverrun/pangu/mCreateConfig/index,-1,,
mis,86,司机运营活动-新增活动,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/saveData,-1,,
mis,87,乘客运营-券绑定-新增券绑定按钮,marketing.mis.xiaojukeji.com/gulfstream/mis/sunspear/mis/mCouponNewBinding/addBindActivity,-1,,
mis,88,乘客运营-运营策略管理-增加主策略,mis.volcano.intra.xiaojukeji.com/metis/policyMisV3/mAddPolicy,-1,,
mis,89,终止播报,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/mDidiSysPush/stopTask,-1,,
mis,90,车辆模块-编辑车辆资料,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/updateCar,-1,,
mis,91,车辆模块-车辆列表,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/listView,-1,,
mis,92,车辆模块-车辆详情,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/getCarDetails,-1,,
mis,93,车辆模块-录入车辆,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/addCar,-1,,
mis,94,司机信息维护工具-删除车辆信息-删除,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mBasicInfoClear/delCar,-1,,
mis,95,基础信息-乘客列表-乘客详情-乘客封禁,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPunish/passengerPunish,-1,,
mis,96,基础信息-乘客列表-乘客详情-乘客解禁,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPunish/passengerUnPunish,-1,,
mis,97,出租车批量修改公司,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/batchUpdateDriverCarCompanyTaxi,-1,,
mis,98,司机列表-司机档案-冻结司机账户,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/freezeDriver,-1,,
mis,99,公司列表-公司录入,mis.xiaojukeji.com/gulfstream/mis/casterlyrock/company/mCompany/addCompany,-1,,
mis,100,订单中心列表页 - 改派面板-关闭订单,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mCloseOrder/index,-1,订单中心列表页 - 改派面板；主要用于已响应已计费的订单，司机忘记关闭。,
mis,101,管控修复工具,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kOrderRepair/listView,-1,,
mis,102,管控指标修复工具－查询,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kOrderRepair/getOrderRepair,-1,,
mis,103,基础信息-司机列表-司机账户解冻,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/unFreezeDriver,-1,,
mis,104,历史星级查询,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mActivityTool,-1,,
mis,105,财务管理-司机批量补扣款-添加,mis.xiaojukeji.com/gulfstream/mis/winterfell/finance/mCompensateDeduct/saveAddData,-1,,
mis,106,司机列表-批量操作_批量常规/红线封禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/driverBatchPunish,-1,,
mis,107,司机列表-批量操作-批量解冻/冻结,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/driverBatchFreeze,-1,,
mis,108,批量操作-修改车辆公司,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/batchUpdateCarCompany,-1,,
mis,109,批量操作-修改公司快车,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/batchUpdateDriverCarCompanyKuai,-1,,
mis,110,批量操作-修改公司专车,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/batchUpdateDriverCarCompanyZhuan,-1,,
mis,111,批量更新司机听单资质,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mNewDriver/batchUpdateDriverGrade,-1,,
mis,112,司机运营-人脸识别-强制通过验证,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mFace/scanPassForce,-1,,
mis,113,身份证号码清除-普通/高级删除,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mBasicInfoClear/delDriverIdCard,-1,,
mis,114,基础信息-三证校验-手工导入,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverPapersAuth/importOneId,-1,,
mis,115,司乘管理-升降级状态查询-手动升级权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mUpDegradeManage/upDriverLevel,-1,,
mis,116,司乘管理-升降级状态管理-手动降级权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mUpDegradeManage/deDriverLevel,-1,,
mis,117,司机列表-司机录入,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/addDriver,-1,,
mis,118,司机模块-编辑资料,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/updateDriver,-1,,
mis,119,司机模块-更换车辆,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/changeCar,-1,,
mis,120,司机模块-激活司机,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/activeDriver,-1,,
mis,121,司机模块/批量操作-平台封禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/platformPunishDriver,-1,,
mis,122,司机模块-平台解禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/platformUnPunishDriver,-1,,
mis,123,司机模块-司机常规解禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/unPunishDriver,-1,,
mis,124,司机模块-司机列表-平台封禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/getPlatformPunishList,-1,,
mis,125,司机模块-修改司机手机号,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/changeDriverPhone,-1,,
mis,126,司机列表-批量操作-批量常规/红线解禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/driverBatchUnPunish,-1,,
mis,127,司机详情-常规/红线封禁,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/punishDriver,-1,,
mis,128,司机详情页绑定车辆,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/bindCar,-1,,
